CODE,n_numeric,suma_numeric,n_total,media_numeric
72514-3,584224,1.835333e+06,584224,3.1414885386427125
8480-6,332352,3.8832124e+07,332352,116.84034999037165
8462-4,332352,2.609802e+07,332352,78.5252383015598
29463-7,315939,2.218929e+07,315939,70.23282975511096
9279-1,308985,4.402837e+06,308985,14.249355146689968
8867-4,308985,2.5009576e+07,308985,80.94106833665064
8302-2,302565,4.751639e+07,302565,157.04523656073903
72166-2,0,0.0,301694,
39156-5,280744,7.5030775e+06,280744,26.72569137719773
74006-8,245248,735552.44,245248,2.9992189029064455
33914-3,243948,1.3003106e+07,243948,53.302777641136636
71802-3,0,0.0,229879,
32624-9,0,0.0,228799,
93028-9,0,0.0,228799,
93027-1,0,0.0,228799,
93026-3,0,0.0,228799,
56051-6,0,0.0,228799,
82589-3,0,0.0,228799,
56799-0,0,0.0,228799,
93030-5,0,0.0,228799,
54899-0,0,0.0,228799,
76437-3,0,0.0,228799,
93029-7,0,0.0,228799,
76501-6,0,0.0,228799,
67875-5,0,0.0,228799,
93035-4,0,0.0,228799,
63512-8,228799,1.018308e+06,228799,4.450666305359726
93031-3,0,0.0,228799,
63586-2,228799,2.7008625e+10,228799,118045.20404372396
93033-9,0,0.0,228799,
93034-7,0,0.0,228799,
93038-8,0,0.0,228799,
38483-4,210259,550757.2,210259,2.61942265253806
6299-2,210259,2.8426332e+06,210259,13.519674544252565
2947-0,210259,2.94375e+07,210259,140.00589748833582
49765-1,210259,1.9669558e+06,210259,9.354918219909731
2339-0,210259,1.8589096e+07,210259,88.41046518817268
6298-4,210259,936558.1,210259,4.454306949999762
20565-8,210259,5.151119e+06,210259,24.498922757170916
2069-3,210259,2.2289354e+07,210259,106.00903647406294
QOLS,208492,194233.08,208492,0.931609261386528
QALY,208492,7.327941e+06,208492,35.147348579321985
DALY,208492,323724.06,208492,1.552692969034783
4548-4,181975,842599.5,181975,4.630303613133672
55758-7,178024,215659.0,178024,1.211404080348717
5811-5,158436,158436.0,158436,1.0
5802-4,3341,726.0,158436,0.21730020951810836
5799-2,3341,0.0,158436,0.0
5794-3,3341,0.0,158436,0.0
2514-8,3341,726.0,158436,0.21730020951810836
5803-2,158436,951364.6,158436,6.004725094044283
20454-5,3341,726.0,155647,0.21730020951810836
5770-3,3341,726.0,155647,0.21730020951810836
25428-4,3341,726.0,155647,0.21730020951810836
5804-0,155095,4.366613e+07,155095,281.5443953705793
5792-7,155095,248989.06,155095,1.6053970953286696
5767-9,0,0.0,153527,
5778-6,0,0.0,152306,
32167-9,0,0.0,152306,
20505-4,152306,129351.57,152306,0.8492874234271794
5797-6,152306,1.5237781e+06,152306,10.004715014510262
34533-0,0,0.0,151085,
2951-2,132208,1.8508758e+07,132208,139.9972618903546
2160-0,132208,265130.38,132208,2.00540341734237
3094-0,132208,1.7883842e+06,132208,13.527050178506595
17861-6,132208,1.2367528e+06,132208,9.354598435798136
2823-3,132208,588764.25,132208,4.453317877889386
2028-9,132208,3.2377502e+06,132208,24.489820963935617
2345-7,132208,1.1999702e+07,132208,90.76381156964783
2075-0,132208,1.4016065e+07,132208,106.01525626285853
2093-3,123088,2.3866442e+07,123088,193.89739048485637
2085-9,123088,6.1751565e+06,123088,50.16863138567529
18262-6,123088,1.438898e+07,123088,116.89994150526452
2571-8,123088,1.824536e+07,123088,148.2302092811647
70274-6,121888,419572.0,121888,3.442274875295353
2885-2,76406,536995.75,76406,7.028188231290736
1742-6,76406,2.7335748e+06,76406,35.77696450540533
1751-7,76406,343688.03,76406,4.498181180142921
6768-6,76406,6.0704955e+06,76406,79.45050781352249
1920-8,76406,1.7080445e+06,76406,22.354847786823026
1975-2,76357,160489.9,76357,2.1018361938001755
718-7,75347,1.0791582e+06,75347,14.322511181599799
6690-2,75121,480040.9,75121,6.3902358361842895
788-0,75121,2.674182e+06,75121,35.59832803077701
789-8,75121,354621.2,75121,4.720666491393884
787-2,75121,6.582406e+06,75121,87.62404653825162
786-4,75121,2.575641e+06,75121,34.28656434286019
777-3,75121,2.1567822e+07,75121,287.10775948137007
785-6,75121,2.2504745e+06,75121,29.95799443564383
4544-3,72618,3.0659595e+06,72618,42.220379244815334
75626-2,70050,109240.0,70050,1.5594575303354747
82667-7,69667,77172.0,69667,1.1077267572882425
76504-0,68557,9402.0,68557,0.13714135682716572
10834-0,58229,160202.8,58229,2.7512544758625426
59576-9,57214,3.4862035e+06,57214,60.932700038452126
32623-1,57040,618969.25,57040,10.851494565217392
32207-3,57040,1.9069358e+07,57040,334.3155329593268
59460-6,55361,2.512961e+06,55361,45.39226170047506
59461-4,0,0.0,55361,
14959-1,52388,4.948982e+06,52388,94.46785523402306
8289-1,32106,1.6902106e+06,32106,52.644696474179284
9843-4,32106,1.4553274e+06,32106,45.32882872360307
77606-2,32106,1.8546469e+06,32106,57.76636376378247
8310-5,24790,947509.0,24790,38.22141992739007
2708-6,22229,1.9142612e+06,22229,86.1154910252373
89204-2,15354,49954.0,15354,3.253484434023707
71490-7,0,0.0,14636,
79892-6,14636,234156.7,14636,15.998681547212353
71491-5,0,0.0,14636,
79893-4,14636,234156.7,14636,15.998681547212353
413078003,14442,438.30008,14442,0.030348987629532136
413077008,14442,438.30008,14442,0.030348987629532136
19123-9,13662,26643.494,13662,1.9501898800047577
89579-7,11144,82938.414,11144,7.442427679693108
44261-6,10802,145295.0,10802,13.450749861136826
2276-4,9524,2.3556698e+06,9524,247.34037694246115
82810-3,0,0.0,9269,
6301-6,9101,13169.104,9101,1.4469952220223052
19926-5,8561,302861.22,8561,35.376850689171825
2744-1,8198,57802.4,8198,7.050792685716028
2019-8,8198,328184.56,8198,40.032271590631865
1960-4,8198,200886.88,8198,24.504376067333496
2703-7,8198,657922.94,8198,80.25407873871676
5902-2,7964,87024.375,7964,10.927219362129582
33762-6,7063,7.8294105e+06,7063,1108.510618717259
2498-4,7053,704166.3,7053,99.83926166170424
2502-3,7053,246669.56,7053,34.97370799659719
2500-7,7053,2.4831085e+06,7053,352.0641570962711
79819-9,0,0.0,6387,
79818-1,0,0.0,6387,
3173-2,6164,199085.28,6164,32.2980663935756
2777-1,5493,19258.201,5493,3.505953244470235
38208-5,5489,30186.0,5489,5.499362361085808
751-8,4894,16480.695,4894,3.367530713628933
704-7,4888,1372.2002,4888,0.28072835419650166
