CODE,n_numeric,suma_numeric,n_total,media_numeric
72514-3,584224,1835333.0,584224,3.1414885386427125
8480-6,332352,38832125.100000024,332352,116.84035330011561
8462-4,332352,26098019.599999994,332352,78.52523709801655
29463-7,315939,22189283.299999997,315939,70.23280854848562
9279-1,308985,4402836.499999997,308985,14.24935352848843
8867-4,308985,25009577.200000007,308985,80.94107222033435
8302-2,302565,47516408.10000003,302565,157.0452897724457
72166-2,0,0.0,301694,
39156-5,280744,7503076.900000003,280744,26.72568924001939
74006-8,245248,735552.4000000004,245248,2.9992187500000016
33914-3,243948,13003105.200000003,243948,53.302774361749236
71802-3,0,0.0,229879,
32624-9,0,0.0,228799,
93028-9,0,0.0,228799,
93027-1,0,0.0,228799,
93026-3,0,0.0,228799,
56051-6,0,0.0,228799,
82589-3,0,0.0,228799,
56799-0,0,0.0,228799,
93030-5,0,0.0,228799,
54899-0,0,0.0,228799,
76437-3,0,0.0,228799,
93029-7,0,0.0,228799,
76501-6,0,0.0,228799,
67875-5,0,0.0,228799,
93035-4,0,0.0,228799,
63512-8,228799,1018308.0,228799,4.450666305359726
93031-3,0,0.0,228799,
63586-2,228799,27008626584.0,228799,118045.2125402646
93033-9,0,0.0,228799,
93034-7,0,0.0,228799,
93038-8,0,0.0,228799,
38483-4,210259,550757.1999999997,210259,2.619422711988546
6299-2,210259,2842633.2000000007,210259,13.519674306450618
2947-0,210259,29437503.499999985,210259,140.00591413447216
49765-1,210259,1966955.6999999993,210259,9.354917982107779
2339-0,210259,18589097.099999994,210259,88.41047041981554
6298-4,210259,936558.1000000001,210259,4.454306831098788
20565-8,210259,5151118.699999996,210259,24.498921330359206
2069-3,210259,22289358.400000006,210259,106.00905740063449
QOLS,208492,194233.10000000015,208492,0.9316093663066216
QALY,208492,7327940.999999993,208492,35.14734857932195
DALY,208492,323724.00000000023,208492,1.5526926692630902
4548-4,181975,842599.3999999999,181975,4.630303063607638
55758-7,178024,215659.0,178024,1.211404080348717
5811-5,158436,158436.0,158436,1.0
5802-4,3341,726.0,158436,0.21730020951810836
5799-2,3341,0.0,158436,0.0
5794-3,3341,0.0,158436,0.0
2514-8,3341,726.0,158436,0.21730020951810836
5803-2,158436,951364.800000001,158436,6.004726198591236
20454-5,3341,726.0,155647,0.21730020951810836
5770-3,3341,726.0,155647,0.21730020951810836
25428-4,3341,726.0,155647,0.21730020951810836
5804-0,155095,43666128.09999995,155095,281.5443960153451
5792-7,155095,248989.00000000023,155095,1.6053966923498515
5767-9,0,0.0,153527,
5778-6,0,0.0,152306,
32167-9,0,0.0,152306,
20505-4,152306,129351.59999999992,152306,0.8492876183472741
5797-6,152306,1523777.7999999996,152306,10.004712880648166
34533-0,0,0.0,151085,
2951-2,132208,18508755.10000001,132208,139.99723995522214
2160-0,132208,265130.39999999985,132208,2.0054036064383385
3094-0,132208,1788384.1000000015,132208,13.527049043930788
17861-6,132208,1236753.000000001,132208,9.354600326757843
2823-3,132208,588764.4000000007,132208,4.453319012465212
2028-9,132208,3237749.5,132208,24.489815291056516
2345-7,132208,11999698.499999993,132208,90.76378509621198
2075-0,132208,14016063.400000012,132208,106.01524416071653
2093-3,123088,23866446.999999985,123088,193.89743110620032
2085-9,123088,6175155.999999998,123088,50.16862732354087
18262-6,123088,14388978.700000001,123088,116.89993094371508
2571-8,123088,18245353.500000004,123088,148.23015647341742
70274-6,121888,419572.0,121888,3.442274875295353
2885-2,76406,536995.7,76406,7.028187576891867
1742-6,76406,2733575.1000000006,76406,35.776969086197425
1751-7,76406,343688.0000000001,76406,4.498180771143629
6768-6,76406,6070495.200000001,76406,79.4505038871293
1920-8,76406,1708044.4,76406,22.354846478025284
1975-2,76357,160489.9,76357,2.101836111947824
718-7,75347,1079158.2000000014,75347,14.322510518003389
6690-2,75121,480040.9,75121,6.390235752985184
788-0,75121,2674181.900000001,75121,35.59832669959134
789-8,75121,354621.0999999999,75121,4.720665326606407
787-2,75121,6582404.200000002,75121,87.62402257690928
786-4,75121,2575641.4000000013,75121,34.286569667602954
777-3,75121,21567810.999999978,75121,287.10761305094417
785-6,75121,2250474.8000000003,75121,29.95799842920089
4544-3,72618,3065958.0,72618,42.22035858877964
75626-2,70050,109240.0,70050,1.5594575303354747
82667-7,69667,77172.0,69667,1.1077267572882425
76504-0,68557,9402.0,68557,0.13714135682716572
10834-0,58229,160202.7999999998,58229,2.751254529529956
59576-9,57214,3486204.000000001,57214,60.93270877757194
32623-1,57040,618969.1999999998,57040,10.851493688639549
32207-3,57040,19069357.50000002,57040,334.3155241935487
59460-6,55361,2512961.0,55361,45.39226170047506
59461-4,0,0.0,55361,
14959-1,52388,4948983.099999996,52388,94.4678762311979
8289-1,32106,1690210.9999999988,32106,52.64470815423905
9843-4,32106,1455327.7000000007,32106,45.32883884632158
77606-2,32106,1854646.7000000004,32106,57.766358313087906
8310-5,24790,947509.1000000001,24790,38.22142396127471
2708-6,22229,1914260.9000000001,22229,86.11547528003959
89204-2,15354,49954.0,15354,3.253484434023707
71490-7,0,0.0,14636,
79892-6,14636,234156.7,14636,15.998681333697732
71491-5,0,0.0,14636,
79893-4,14636,234156.7,14636,15.998681333697732
413078003,14442,438.30000000000007,14442,0.03034898213543831
413077008,14442,438.30000000000007,14442,0.03034898213543831
19123-9,13662,26643.49999999997,13662,1.950190308885959
89579-7,11144,82938.40000000004,11144,7.442426417803306
44261-6,10802,145295.0,10802,13.450749861136826
2276-4,9524,2355670.0999999996,9524,247.34041369172613
82810-3,0,0.0,9269,
6301-6,9101,13169.099999999995,9101,1.4469948357323366
19926-5,8561,302861.0999999999,8561,35.376836818128716
2744-1,8198,57802.399999999965,8198,7.0507928763112915
2019-8,8198,328184.5,8198,40.032263966821176
1960-4,8198,200886.89999999985,8198,24.504379116857752
2703-7,8198,657923.1999999994,8198,80.25411075872157
5902-2,7964,87024.39999999998,7964,10.927222501255647
33762-6,7063,7829408.900000004,7063,1108.5103921846246
2498-4,7053,704166.1999999996,7053,99.8392457110449
2502-3,7053,246669.5999999999,7053,34.97371331348361
2500-7,7053,2483108.500000002,7053,352.06415709627134
79819-9,0,0.0,6387,
79818-1,0,0.0,6387,
3173-2,6164,199085.40000000002,6164,32.29808565866321
2777-1,5493,19258.2,5493,3.50595303113053
38208-5,5489,30186.000000000004,5489,5.499362361085809
751-8,4894,16480.70000000001,4894,3.3675316714344117
704-7,4888,1372.2000000000012,4888,0.2807283142389528
770-8,4888,134604.80000000005,4888,27.537806873977097
711-2,4888,1868.3999999999994,4888,0.382242225859247
706-2,4888,14572.599999999991,4888,2.981301145662846
5905-5,4888,48847.8,4888,9.993412438625205
713-8,4888,21978.800000000003,4888,4.496481178396072
736-9,4888,73447.79999999997,4888,15.026145662847785
731-0,4888,5090.700000000002,4888,1.0414689034369888
742-7,4888,4426.200000000001,4888,0.9055237315875615
75325-1,0,0.0,3582,
10230-1,3377,157800.1000000001,3377,46.72789458098907
69453-9,0,0.0,2876,
24124-0,0,0.0,2789,
5787-7,2789,5580.699999999998,2789,2.0009680889207595
5821-4,2789,84984.2,2789,30.47120831839369
8247-9,0,0.0,2789,
5769-5,0,0.0,2789,
630-4,0,0.0,2789,
13945-1,2789,5556.499999999998,2789,1.9922911437791317
20570-8,2729,90004.2,2729,32.980652253572735
94531-1,0,0.0,2491,
48065-7,2471,6738.4,2471,2.726993120194253
2157-6,2471,123805.89999999998,2471,50.10356131121003
14804-9,2471,672972.4000000005,2471,272.3481991096724
33959-8,2471,332.30000000000007,2471,0.13447996762444359
1988-5,2471,26328.999999999985,2471,10.655200323755558
75893-8,2316,12571.499999999998,2316,5.428108808290155
91146-1,2316,12777.900000000005,2316,5.5172279792746135
91145-3,2316,12774.900000000001,2316,5.515932642487047
2857-1,2118,6225.199999999999,2118,2.93918791312559
32465-7,0,0.0,2118,
X9999-1,0,0.0,1931,
X9999-2,1931,4728.0,1931,2.4484722941481096
19994-3,1930,125794.7,1930,65.17860103626943
72106-8,1904,25560.4,1904,13.424579831932775
38265-5,1642,-1733.5,1642,-1.0557247259439708
6276-0,1599,284.10000000000025,1599,0.17767354596622906
7258-7,1599,265.1999999999999,1599,0.1658536585365853
6273-7,1599,279.99999999999966,1599,0.1751094434021261
6833-8,1599,278.0000000000002,1599,0.17385866166353986
6158-0,1599,264.79999999999984,1599,0.16560350218886793
6844-5,1599,267.70000000000005,1599,0.16741713570981867
6248-9,1599,273.29999999999984,1599,0.17091932457786108
6246-3,1599,275.4,1599,0.1722326454033771
6206-7,1599,274.09999999999997,1599,0.1714196372732958
6085-5,1599,278.8,1599,0.17435897435897438
6189-5,1599,279.8999999999998,1599,0.17504690431519687
6095-4,1599,270.9000000000001,1599,0.16941838649155727
6106-9,1599,266.79999999999995,1599,0.16685428392745463
6082-2,1599,277.5999999999999,1599,0.17360850531582234
6075-6,1599,275.1,1599,0.17204502814258912
29554-3,0,0.0,1555,
65750-2,0,0.0,1486,
33756-8,1438,8203.400000000001,1438,5.704728789986093
57905-2,1438,62581.40000000003,1438,43.51974965229488
92134-6,0,0.0,1088,
92139-5,0,0.0,1088,
94040-3,0,0.0,1088,
92142-9,0,0.0,1088,
92131-2,0,0.0,1088,
92140-3,0,0.0,1088,
92141-1,0,0.0,1088,
92138-7,0,0.0,1088,
92130-4,0,0.0,1088,
28245-9,0,0.0,1080,
46240-8,1080,5283.499999999998,1080,4.892129629629628
63513-6,0,0.0,1080,
76690-7,0,0.0,1080,
55277-8,0,0.0,1080,
75636-1,0,0.0,970,
75443-2,902,902.0,902,1.0
20447-9,894,137828264.0,894,154170.31767337807
3184-9,869,120909.49999999997,869,139.1363636363636
80382-5,0,0.0,845,
80383-3,0,0.0,845,
24467-3,831,483820.0,831,582.2141997593261
3016-3,791,2788.399999999999,791,3.525158027812894
2021-4,775,33735.49999999999,775,43.529677419354826
2746-6,775,5710.699999999999,775,7.368645161290321
2027-1,775,986.3999999999997,775,1.2727741935483867
2705-2,775,32552.200000000008,775,42.00283870967743
14627-4,775,19393.899999999998,775,25.02438709677419
84215-3,732,732.0,732,1.0
88040-1,0,0.0,699,
88020-3,0,0.0,686,
21377-7,671,1309.2,671,1.951117734724292
71425-3,671,1012.5,671,1.5089418777943369
2106-3,0,0.0,640,
88021-1,0,0.0,597,
32693-4,541,1199.499999999999,541,2.217190388170054
46288-7,0,0.0,366,
21908-9,0,0.0,324,
44963-7,0,0.0,284,
88262-1,0,0.0,284,
8478-0,284,21071.700000000008,284,74.1961267605634
85337-4,0,0.0,170,
85318-4,0,0.0,170,
85339-0,0,0.0,170,
21906-3,0,0.0,170,
21907-1,0,0.0,170,
21905-5,0,0.0,170,
85319-2,0,0.0,170,
66524-0,169,3408.9000000000005,169,20.171005917159768
66534-9,169,1785.3999999999996,169,10.564497041420116
66519-0,169,2005.2999999999993,169,11.865680473372777
66529-9,169,708.5999999999999,169,4.192899408284023
33728-7,168,440.4999999999999,168,2.622023809523809
44667-4,0,0.0,154,
59557-9,0,0.0,153,
10480-2,0,0.0,98,
86924-8,89,4258.2,89,47.844943820224714
85352-3,85,0.0,85,0.0
870537001,69,147.0,69,2.130434782608696
271605009,69,282.0,69,4.086956521739131
285285000,69,2206.2,69,31.97391304347826
3024-7,65,16.1,65,0.2476923076923077
70006-2,0,0.0,64,
26453-1,49,252.6,49,5.155102040816327
26515-7,49,14777.799999999994,49,301.5877551020407
26464-8,49,637.4000000000001,49,13.008163265306123
30385-9,49,644.3,49,13.148979591836733
80271-0,0,0.0,49,
42719-5,49,89.90000000000002,49,1.8346938775510209
85343-2,49,593.5000000000001,49,12.112244897959187
33037-3,49,382.09999999999997,49,7.797959183673469
30428-7,49,4277.3,49,87.29183673469389
99999-8,47,21.3,47,0.4531914893617021
99999-7,47,23.600000000000005,47,0.5021276595744681
99999-6,47,23.5,47,0.5
99999-5,47,22.6,47,0.48085106382978726
99999-3,47,24.700000000000003,47,0.5255319148936171
99999-2,47,25.5,47,0.5425531914893617
99999-11,47,21.9,47,0.4659574468085106
99999-10,47,25.4,47,0.5404255319148936
99999-9,47,21.5,47,0.4574468085106383
99999-1,47,23.100000000000005,47,0.49148936170212776
99999-4,47,22.9,47,0.48723404255319147
85344-0,36,72.2,36,2.0055555555555555
7917-8,0,0.0,34,
26881-3,15,87.0,15,5.8
18752-6,0,0.0,13,
21924-6,0,0.0,9,
71970-8,6,55.3,6,9.216666666666667
71972-4,6,74.1,6,12.35
22577-1,0,0.0,6,
71980-7,4,84.8,4,21.2
71976-5,4,70.1,4,17.525
71977-3,4,60.3,4,15.075
71979-9,4,44.8,4,11.2
71978-1,4,28.7,4,7.175
71973-2,4,42.0,4,10.5
71974-0,4,34.5,4,8.625
71975-7,4,15.9,4,3.975
72009-4,2,19.1,2,9.55
72010-2,2,9.2,2,4.6
72012-8,2,10.3,2,5.15
72013-6,2,8.9,2,4.45
72014-4,2,6.8,2,3.4
72015-1,2,7.5,2,3.75
72016-9,2,9.3,2,4.65
72011-0,2,5.6,2,2.8
