CODE,n_numeric,suma_numeric,n_total,media_numeric
10230-1,3377,157800.1000000002,3377,46.72789458098911
10480-2,0,0.0,98,
10834-0,58229,160202.7999999982,58229,2.7512545295299287
13945-1,2789,5556.499999999992,2789,1.9922911437791293
14627-4,775,19393.89999999998,775,25.024387096774166
14804-9,2471,672972.4000000005,2471,272.3481991096724
14959-1,52388,4948983.100000007,52388,94.46787623119812
1742-6,76406,2733575.099999982,76406,35.776969086197184
1751-7,76406,343688.0,76406,4.498180771143628
17861-6,132208,1236752.999999926,132208,9.354600326757277
18262-6,123088,14388978.699999731,123088,116.89993094371287
18752-6,0,0.0,13,
19123-9,13662,26643.500000000204,13662,1.950190308885976
1920-8,76406,1708044.4000000027,76406,22.354846478025323
1960-4,8198,200886.9,8198,24.50437911685777
1975-2,76357,160489.90000000954,76357,2.101836111947949
1988-5,2471,26329.0,2471,10.655200323755565
19926-5,8561,302861.1000000009,8561,35.37683681812883
19994-3,1930,125794.69999999992,1930,65.17860103626938
2019-8,8198,328184.50000000134,8198,40.03226396682134
2021-4,775,33735.49999999999,775,43.529677419354826
2027-1,775,986.3999999999993,775,1.2727741935483863
2028-9,132208,3237749.5000000466,132208,24.489815291056868
20447-9,894,137828264.0,894,154170.31767337807
20454-5,3341,726.0,155647,0.21730020951810836
20505-4,152306,129351.59999998233,152306,0.8492876183471585
20565-8,210259,5151118.69999997,210259,24.49892133035908
20570-8,2729,90004.19999999997,2729,32.98065225357273
2069-3,210259,22289358.40000036,210259,106.00905740063617
2075-0,132208,14016063.400000058,132208,106.01524416071689
2085-9,123088,6175156.000000111,123088,50.168627323541784
2093-3,123088,23866447.000000197,123088,193.89743110620205
2106-3,0,0.0,640,
21377-7,671,1309.200000000001,671,1.9511177347242936
2157-6,2471,123805.89999999989,2471,50.103561311209994
2160-0,132208,265130.39999992895,132208,2.005403606437802
21905-5,0,0.0,170,
21906-3,0,0.0,170,
21907-1,0,0.0,170,
21908-9,0,0.0,324,
21924-6,0,0.0,9,
22577-1,0,0.0,6,
2276-4,9524,2355670.099999999,9524,247.34041369172607
2339-0,210259,18589097.099999703,210259,88.41047041981415
2345-7,132208,11999698.499999942,132208,90.76378509621159
24124-0,0,0.0,2789,
24467-3,831,483820.0,831,582.2141997593261
2498-4,7053,704166.2000000011,7053,99.83924571104511
2500-7,7053,2483108.5000000084,7053,352.06415709627225
2502-3,7053,246669.5999999993,7053,34.97371331348353
2514-8,3341,726.0,158436,0.21730020951810836
25428-4,3341,726.0,155647,0.21730020951810836
2571-8,123088,18245353.499999795,123088,148.23015647341572
26453-1,49,252.60000000000002,49,5.155102040816327
26464-8,49,637.4000000000001,49,13.008163265306123
26515-7,49,14777.799999999994,49,301.5877551020407
26881-3,15,87.0,15,5.8
2703-7,8198,657923.2000000015,8198,80.25411075872182
2705-2,775,32552.199999999968,775,42.00283870967738
2708-6,22229,1914260.8999999985,22229,86.11547528003952
271605009,69,282.0,69,4.086956521739131
2744-1,8198,57802.39999999983,8198,7.050792876311275
2746-6,775,5710.699999999992,775,7.368645161290312
2777-1,5493,19258.199999999975,5493,3.505953031130525
2823-3,132208,588764.3999999868,132208,4.453319012465106
28245-9,0,0.0,1080,
285285000,69,2206.2,69,31.97391304347826
2857-1,2118,6225.200000000012,2118,2.9391879131255956
2885-2,76406,536995.699999996,76406,7.028187576891814
29463-7,315939,22189283.299999032,315939,70.23280854848257
2947-0,210259,29437503.49999957,210259,140.0059141344702
2951-2,132208,18508755.100000355,132208,139.99723995522476
29554-3,0,0.0,1555,
3016-3,791,2788.399999999997,791,3.5251580278128913
3024-7,65,16.1,65,0.2476923076923077
30385-9,49,644.3,49,13.148979591836733
30428-7,49,4277.3,49,87.29183673469389
3094-0,132208,1788384.1000000376,132208,13.52704904393106
3173-2,6164,199085.40000000005,6164,32.29808565866321
3184-9,869,120909.50000000003,869,139.13636363636368
32167-9,0,0.0,152306,
32207-3,57040,19069357.50000015,57040,334.315524193551
32465-7,0,0.0,2118,
32623-1,57040,618969.1999999812,57040,10.851493688639222
32624-9,0,0.0,228799,
32693-4,541,1199.5,541,2.2171903881700556
33037-3,49,382.1,49,7.79795918367347
33728-7,168,440.4999999999999,168,2.622023809523809
33756-8,1438,8203.400000000007,1438,5.704728789986096
33762-6,7063,7829408.900000016,7063,1108.5103921846264
33914-3,243948,13003105.199999962,243948,53.30277436174907
33959-8,2471,332.29999999999916,2471,0.1344799676244432
34533-0,0,0.0,151085,
38208-5,5489,30186.000000000076,5489,5.499362361085822
38265-5,1642,-1733.499999999997,1642,-1.055724725943969
38483-4,210259,550757.1999999997,210259,2.619422711988546
39156-5,280744,7503076.90000025,280744,26.725689240020266
413077008,14442,438.30000000001087,14442,0.030348982135439056
413078003,14442,438.30000000001087,14442,0.030348982135439056
42719-5,49,89.9,49,1.8346938775510204
44261-6,10802,145295.0,10802,13.450749861136826
44667-4,0,0.0,154,
44963-7,0,0.0,284,
4544-3,72618,3065958.000000014,72618,42.22035858877983
4548-4,181975,842599.4000003499,181975,4.630303063609561
46240-8,1080,5283.500000000002,1080,4.892129629629632
46288-7,0,0.0,366,
48065-7,2471,6738.399999999998,2471,2.7269931201942526
49765-1,210259,1966955.7000002041,210259,9.354917982108752
54899-0,0,0.0,228799,
55277-8,0,0.0,1080,
55758-7,178024,215659.0,178024,1.211404080348717
56051-6,0,0.0,228799,
56799-0,0,0.0,228799,
5767-9,0,0.0,153527,
5769-5,0,0.0,2789,
5770-3,3341,726.0,155647,0.21730020951810836
5778-6,0,0.0,152306,
5787-7,2789,5580.700000000009,2789,2.0009680889207635
57905-2,1438,62581.4,1438,43.519749652294855
5792-7,155095,248988.99999999595,155095,1.605396692349824
5794-3,3341,0.0,158436,0.0
5797-6,152306,1523777.8000000287,152306,10.004712880648357
5799-2,3341,0.0,158436,0.0
5802-4,3341,726.0,158436,0.21730020951810836
5803-2,158436,951364.8000000191,158436,6.00472619859135
5804-0,155095,43666128.10000076,155095,281.54439601535034
5811-5,158436,158436.0,158436,1.0
5821-4,2789,84984.20000000013,2789,30.471208318393735
5902-2,7964,87024.40000000021,7964,10.927222501255677
5905-5,4888,48847.79999999993,4888,9.99341243862519
59460-6,55361,2512961.0,55361,45.39226170047506
59461-4,0,0.0,55361,
59557-9,0,0.0,153,
59576-9,57214,3486204.000000041,57214,60.93270877757264
6075-6,1599,275.09999999999917,1599,0.1720450281425886
6082-2,1599,277.5999999999997,1599,0.1736085053158222
6085-5,1599,278.7999999999989,1599,0.17435897435897366
6095-4,1599,270.89999999999867,1599,0.16941838649155638
