CODE,n_total,n_numeric,suma_numeric,media_numeric
10230-1,3377,3377,157800.1,46.727894580989044
10480-2,98,0,0.0,
10834-0,58229,58229,160202.8,2.7512545295299593
13945-1,2789,2789,5556.5,1.9922911437791324
14627-4,775,775,19393.9,25.024387096774195
14804-9,2471,2471,672972.4,272.3481991096722
14959-1,52388,52388,4948983.1,94.46787623119798
1742-6,76406,76406,2733575.1,35.77696908619742
1751-7,76406,76406,343688.0,4.498180771143628
17861-6,132208,132208,1236753.0,9.354600326757836
18262-6,123088,123088,14388978.7,116.89993094371506
18752-6,13,0,0.0,
19123-9,13662,13662,26643.5,1.9501903088859611
1920-8,76406,76406,1708044.4,22.354846478025284
1960-4,8198,8198,200886.9,24.50437911685777
1975-2,76357,76357,160489.9,2.101836111947824
1988-5,2471,2471,26329.0,10.655200323755565
19926-5,8561,8561,302861.1,35.37683681812872
19994-3,1930,1930,125794.7,65.17860103626943
2019-8,8198,8198,328184.5,40.032263966821176
2021-4,775,775,33735.5,43.52967741935484
2027-1,775,775,986.4,1.2727741935483872
2028-9,132208,132208,3237749.5,24.489815291056516
20447-9,894,894,137828264.0,154170.31767337807
20454-5,155647,3341,726.0,0.21730020951810836
20505-4,152306,152306,129351.6,0.8492876183472746
20565-8,210259,210259,5151118.7,24.498921330359224
20570-8,2729,2729,90004.2,32.980652253572735
2069-3,210259,210259,22289358.4,106.00905740063445
2075-0,132208,132208,14016063.4,106.01524416071645
2085-9,123088,123088,6175156.0,50.16862732354088
2093-3,123088,123088,23866447.0,193.89743110620043
2106-3,640,0,0.0,
21377-7,671,671,1309.2,1.951117734724292
2157-6,2471,2471,123805.9,50.103561311210036
2160-0,132208,132208,265130.4,2.00540360643834
21905-5,170,0,0.0,
21906-3,170,0,0.0,
21907-1,170,0,0.0,
21908-9,324,0,0.0,
21924-6,9,0,0.0,
22577-1,6,0,0.0,
2276-4,9524,9524,2355670.1,247.34041369172618
2339-0,210259,210259,18589097.1,88.41047041981557
2345-7,132208,132208,11999698.5,90.76378509621203
24124-0,2789,0,0.0,
24467-3,831,831,483820.0,582.2141997593261
2498-4,7053,7053,704166.2,99.83924571104494
2500-7,7053,7053,2483108.5,352.0641570962711
2502-3,7053,7053,246669.6,34.97371331348362
2514-8,158436,3341,726.0,0.21730020951810836
25428-4,155647,3341,726.0,0.21730020951810836
2571-8,123088,123088,18245353.5,148.2301564734174
26453-1,49,49,252.6,5.155102040816327
26464-8,49,49,637.4,13.008163265306122
26515-7,49,49,14777.8,301.5877551020408
26881-3,15,15,87.0,5.8
2703-7,8198,8198,657923.2,80.25411075872164
2705-2,775,775,32552.2,42.00283870967742
2708-6,22229,22229,1914260.9,86.11547528003959
271605009,69,69,282.0,4.086956521739131
2744-1,8198,8198,57802.4,7.050792876311296
2746-6,775,775,5710.7,7.368645161290322
2777-1,5493,5493,19258.2,3.50595303113053
2823-3,132208,132208,588764.4,4.453319012465206
28245-9,1080,0,0.0,
285285000,69,69,2206.2000000000003,31.973913043478266
2857-1,2118,2118,6225.2,2.9391879131255902
2885-2,76406,76406,536995.7,7.028187576891867
29463-7,315939,315939,22189283.3,70.23280854848562
2947-0,210259,210259,29437503.5,140.00591413447225
2951-2,132208,132208,18508755.1,139.99723995522208
29554-3,1555,0,0.0,
3016-3,791,791,2788.4,3.5251580278128953
3024-7,65,65,16.1,0.2476923076923077
30385-9,49,49,644.3,13.148979591836733
30428-7,49,49,4277.3,87.29183673469389
3094-0,132208,132208,1788384.1,13.527049043930777
3173-2,6164,6164,199085.4,32.298085658663204
3184-9,869,869,120909.5,139.13636363636363
32167-9,152306,0,0.0,
32207-3,57040,57040,19069357.5,334.3155241935484
32465-7,2118,0,0.0,
32623-1,57040,57040,618969.2,10.85149368863955
32624-9,228799,0,0.0,
32693-4,541,541,1199.5,2.2171903881700556
33037-3,49,49,382.1,7.79795918367347
33728-7,168,168,440.5,2.6220238095238093
33756-8,1438,1438,8203.4,5.704728789986092
33762-6,7063,7063,7829408.9,1108.5103921846242
33914-3,243948,243948,13003105.2,53.30277436174922
33959-8,2471,2471,332.3,0.13447996762444356
34533-0,151085,0,0.0,
38208-5,5489,5489,30186.0,5.499362361085808
38265-5,1642,1642,-1733.5,-1.0557247259439708
38483-4,210259,210259,550757.2,2.6194227119885474
39156-5,280744,280744,7503076.9,26.725689240019378
413077008,14442,14442,438.29999999999995,0.030348982135438303
413078003,14442,14442,438.29999999999995,0.030348982135438303
42719-5,49,49,89.9,1.8346938775510204
44261-6,10802,10802,145295.0,13.450749861136826
44667-4,154,0,0.0,
44963-7,284,0,0.0,
4544-3,72618,72618,3065958.0,42.22035858877964
4548-4,181975,181975,842599.4,4.630303063607639
46240-8,1080,1080,5283.5,4.89212962962963
46288-7,366,0,0.0,
48065-7,2471,2471,6738.4,2.726993120194253
49765-1,210259,210259,1966955.7,9.35491798210778
54899-0,228799,0,0.0,
55277-8,1080,0,0.0,
55758-7,178024,178024,215659.0,1.211404080348717
56051-6,228799,0,0.0,
56799-0,228799,0,0.0,
5767-9,153527,0,0.0,
5769-5,2789,0,0.0,
5770-3,155647,3341,726.0,0.21730020951810836
5778-6,152306,0,0.0,
5787-7,2789,2789,5580.7,2.00096808892076
57905-2,1438,1438,62581.4,43.519749652294855
5792-7,155095,155095,248989.0,1.6053966923498502
5794-3,158436,3341,0.0,0.0
