CODE,n_total,n_numeric,suma_numeric,media_numeric
10230-1,3377,3377,157800.10000000006,46.727894580989066
10480-2,98,0,0.0,
10834-0,58229,58229,160202.79999999993,2.751254529529958
13945-1,2789,2789,5556.5,1.9922911437791324
14627-4,775,775,19393.899999999998,25.02438709677419
14804-9,2471,2471,672972.3999999999,272.3481991096722
14959-1,52388,52388,4948983.100000001,94.46787623119799
1742-6,76406,76406,2733575.099999998,35.7769690861974
1751-7,76406,76406,343688.0000000001,4.498180771143629
17861-6,132208,132208,1236753.0000000037,9.354600326757865
18262-6,123088,123088,14388978.69999998,116.8999309437149
18752-6,13,0,0.0,
19123-9,13662,13662,26643.499999999978,1.9501903088859596
1920-8,76406,76406,1708044.4000000001,22.354846478025287
1960-4,8198,8198,200886.90000000005,24.504379116857777
1975-2,76357,76357,160489.90000000104,2.1018361119478377
1988-5,2471,2471,26329.000000000004,10.655200323755565
19926-5,8561,8561,302861.1000000001,35.37683681812874
19994-3,1930,1930,125794.70000000001,65.17860103626944
2019-8,8198,8198,328184.50000000006,40.03226396682118
2021-4,775,775,33735.5,43.52967741935484
2027-1,775,775,986.4,1.2727741935483872
2028-9,132208,132208,3237749.500000003,24.489815291056537
20447-9,894,894,137828264.0,154170.31767337807
20454-5,155647,3341,726.0,0.21730020951810836
20505-4,152306,152306,129351.59999999723,0.8492876183472563
20565-8,210259,210259,5151118.700000008,24.49892133035926
20570-8,2729,2729,90004.2,32.980652253572735
2069-3,210259,210259,22289358.40000001,106.0090574006345
2075-0,132208,132208,14016063.399999995,106.0152441607164
2085-9,123088,123088,6175156.000000005,50.16862732354092
2093-3,123088,123088,23866447.000000007,193.89743110620051
2106-3,640,0,0.0,
21377-7,671,671,1309.1999999999998,1.9511177347242918
2157-6,2471,2471,123805.90000000001,50.103561311210036
2160-0,132208,132208,265130.3999999989,2.0054036064383314
21905-5,170,0,0.0,
21906-3,170,0,0.0,
21907-1,170,0,0.0,
21908-9,324,0,0.0,
21924-6,9,0,0.0,
22577-1,6,0,0.0,
2276-4,9524,9524,2355670.100000001,247.34041369172627
2339-0,210259,210259,18589097.09999998,88.41047041981547
2345-7,132208,132208,11999698.500000004,90.76378509621206
24124-0,2789,0,0.0,
24467-3,831,831,483820.0,582.2141997593261
2498-4,7053,7053,704166.2,99.83924571104494
2500-7,7053,7053,2483108.5000000005,352.0641570962712
2502-3,7053,7053,246669.59999999998,34.97371331348362
2514-8,158436,3341,726.0,0.21730020951810836
25428-4,155647,3341,726.0,0.21730020951810836
2571-8,123088,123088,18245353.499999978,148.23015647341722
26453-1,49,49,252.6,5.155102040816327
26464-8,49,49,637.4,13.008163265306122
26515-7,49,49,14777.800000000001,301.58775510204083
26881-3,15,15,87.0,5.8
2703-7,8198,8198,657923.2000000001,80.25411075872165
2705-2,775,775,32552.2,42.00283870967742
2708-6,22229,22229,1914260.9000000001,86.11547528003959
271605009,69,69,282.0,4.086956521739131
2744-1,8198,8198,57802.39999999999,7.050792876311294
2746-6,775,775,5710.699999999997,7.368645161290319
2777-1,5493,5493,19258.199999999997,3.505953031130529
2823-3,132208,132208,588764.4000000004,4.453319012465209
28245-9,1080,0,0.0,
285285000,69,69,2206.2000000000003,31.973913043478266
2857-1,2118,2118,6225.200000000001,2.9391879131255907
2885-2,76406,76406,536995.6999999997,7.028187576891863
29463-7,315939,315939,22189283.299999837,70.23280854848511
2947-0,210259,210259,29437503.499999963,140.00591413447208
2951-2,132208,132208,18508755.100000046,139.99723995522243
29554-3,1555,0,0.0,
3016-3,791,791,2788.4,3.5251580278128953
3024-7,65,65,16.1,0.2476923076923077
30385-9,49,49,644.3,13.148979591836733
30428-7,49,49,4277.3,87.29183673469389
3094-0,132208,132208,1788384.1000000015,13.527049043930788
3173-2,6164,6164,199085.40000000002,32.29808565866321
3184-9,869,869,120909.50000000001,139.13636363636365
32167-9,152306,0,0.0,
32207-3,57040,57040,19069357.5,334.3155241935484
32465-7,2118,0,0.0,
32623-1,57040,57040,618969.1999999981,10.851493688639518
32624-9,228799,0,0.0,
