CODE,n_total,n_numeric,suma_numeric,media_numeric
10230-1,3377,3377,157800.1,46.72789458098904
10480-2,98,0,0.0,
10834-0,58229,58229,160202.8,2.7512545295299593
13945-1,2789,2789,5556.499999999999,1.992291143779132
14627-4,775,775,19393.9,25.024387096774195
14804-9,2471,2471,672972.4000000001,272.34819910967224
14959-1,52388,52388,4948983.099999999,94.46787623119796
1742-6,76406,76406,2733575.0999999987,35.776969086197404
1751-7,76406,76406,343688.0000000001,4.498180771143629
17861-6,132208,132208,1236752.99999999,9.35460032675776
18262-6,123088,123088,14388978.700000005,116.89993094371508
18752-6,13,0,0.0,
19123-9,13662,13662,26643.500000000025,1.950190308885963
1920-8,76406,76406,1708044.4,22.354846478025284
1960-4,8198,8198,200886.90000000005,24.504379116857777
1975-2,76357,76357,160489.90000000002,2.1018361119478244
1988-5,2471,2471,26329.0,10.655200323755563
19926-5,8561,8561,302861.10000000003,35.37683681812873
19994-3,1930,1930,125794.69999999998,65.17860103626943
2019-8,8198,8198,328184.49999999994,40.03226396682117
2021-4,775,775,33735.5,43.52967741935484
2027-1,775,775,986.3999999999996,1.2727741935483867
2028-9,132208,132208,3237749.5,24.489815291056516
20447-9,894,894,137828264.0,154170.31767337807
20454-5,155647,3341,726.0,0.2173002095181083
20505-4,152306,152306,129351.59999999996,0.8492876183472743
20565-8,210259,210259,5151118.699999997,24.49892133035921
20570-8,2729,2729,90004.2,32.980652253572735
2069-3,210259,210259,22289358.4,106.00905740063446
2075-0,132208,132208,14016063.400000008,106.0152441607165
2085-9,123088,123088,6175156.000000001,50.16862732354089
2093-3,123088,123088,23866446.999999993,193.89743110620037
2106-3,640,0,0.0,
21377-7,671,671,1309.1999999999998,1.951117734724292
2157-6,2471,2471,123805.9,50.10356131121003
2160-0,132208,132208,265130.39999999775,2.0054036064383225
21905-5,170,0,0.0,
21906-3,170,0,0.0,
21907-1,170,0,0.0,
21908-9,324,0,0.0,
21924-6,9,0,0.0,
22577-1,6,0,0.0,
2276-4,9524,9524,2355670.1,247.34041369172616
2339-0,210259,210259,18589097.1,88.41047041981555
2345-7,132208,132208,11999698.50000001,90.7637850962121
24124-0,2789,0,0.0,
24467-3,831,831,483820.0,582.2141997593261
2498-4,7053,7053,704166.1999999998,99.83924571104492
2500-7,7053,7053,2483108.5000000005,352.0641570962712
2502-3,7053,7053,246669.6000000001,34.973713313483636
2514-8,158436,3341,726.0,0.2173002095181083
25428-4,155647,3341,726.0,0.2173002095181083
2571-8,123088,123088,18245353.500000004,148.23015647341742
26453-1,49,49,252.60000000000005,5.1551020408163275
26464-8,49,49,637.4000000000001,13.008163265306123
26515-7,49,49,14777.8,301.5877551020408
26881-3,15,15,87.0,5.8
2703-7,8198,8198,657923.2000000002,80.25411075872167
2705-2,775,775,32552.199999999997,42.00283870967741
2708-6,22229,22229,1914260.9,86.11547528003959
271605009,69,69,282.0,4.086956521739131
2744-1,8198,8198,57802.39999999999,7.050792876311294
2746-6,775,775,5710.700000000003,7.368645161290326
2777-1,5493,5493,19258.200000000004,3.5059530311305305
2823-3,132208,132208,588764.3999999997,4.453319012465204
28245-9,1080,0,0.0,
285285000,69,69,2206.2,31.97391304347826
2857-1,2118,2118,6225.199999999999,2.93918791312559
2885-2,76406,76406,536995.7000000001,7.0281875768918685
29463-7,315939,315939,22189283.29999988,70.23280854848525
2947-0,210259,210259,29437503.499999978,140.00591413447214
2951-2,132208,132208,18508755.09999999,139.997239955222
