Característica,Total,Mujeres,Hombres
"Pacientes, n",500,267,233
"Edad al índice, años",52.5 [44.8–61.0],54.0 [46.0–62.5],51.0 [44.0–60.0]
"HbA1c basal, %",7.1 [6.9–7.5],7.1 [6.9–7.5],7.1 [6.9–7.5]
"HbA1c disponible, n",441,236,205
Ingreso anual,72318 [32098–127294],74628 [32240–136802],69129 [31312–112972]
"Raza: Blanca, n (%)",415 (83.0%),228 (85.4%),187 (80.3%)
"Raza: Asiática, n (%)",35 (7.0%),15 (5.6%),20 (8.6%)
"Raza: Negra, n (%)",34 (6.8%),13 (4.9%),21 (9.0%)
"Raza: Otra, n (%)",9 (1.8%),6 (2.2%),3 (1.3%)
"Raza: Hawaiana/islas del Pacífico, n (%)",5 (1.0%),3 (1.1%),2 (0.9%)
"Raza: Nativa, n (%)",2 (0.4%),2 (0.7%),0 (0.0%)
"Etnicidad: Hispana, n (%)",50 (10.0%),27 (10.1%),23 (9.9%)
"Etnicidad: No hispana, n (%)",450 (90.0%),240 (89.9%),210 (90.1%)
"Estado civil: Casado/a, n (%)",286 (57.2%),165 (61.8%),121 (51.9%)
"Estado civil: Soltero/a, n (%)",91 (18.2%),46 (17.2%),45 (19.3%)
"Estado civil: Divorciado/a, n (%)",86 (17.2%),42 (15.7%),44 (18.9%)
"Estado civil: Viudo/a, n (%)",32 (6.4%),14 (5.2%),18 (7.7%)
"Estado civil: faltante, n (%)",5 (1.0%),0 (0.0%),5 (2.1%)
"Gingivitis, n (%)",281 (56.2%),158 (59.2%),123 (52.8%)
"Anemia, n (%)",141 (28.2%),76 (28.5%),65 (27.9%)
"Dolor crónico, n (%)",138 (27.6%),71 (26.6%),67 (28.8%)
"Cardiopatía isquémica, n (%)",94 (18.8%),43 (16.1%),51 (21.9%)
"Predisposición alérgica, n (%)",81 (16.2%),49 (18.4%),32 (13.7%)
